id,name,category,description,wikiLinks
zo9Dkd,Moon Stone,amulet,Increases Reload Speed by 15%. Every third manual Reload will reload both Firearms and increases Ranged Damage by 15% for 10s.,https://remnant.wiki/Moon_Stone
pd4ez1,Navigator's Pendant,amulet,Grants 25 Health  25 Stamina  and -10 Armor Encumbrance.,https://remnant.wiki/Navigator's_Pendant
r11n5x,Neckbone Necklace,amulet,Reduces the Damage of Status Effects applied to wearer by 50%. Gain 25% increased Damage when suffering from a Status Effect or Blight.,https://remnant.wiki/Neckbone_Necklace
8q9cj1,Necklace of Flowing Life,amulet,Increases Grey Health conversion by an additional 100%. When Grey Health Conversion triggers  gain 5x the amount as Mod Power.,https://remnant.wiki/Necklace_of_Flowing_Life
dm67y5,Necklace of Supremacy,amulet,After 5s of not being damaged  increases all damage dealt by 15%. If Health is full  damage bonus increases to 30%.,https://remnant.wiki/Necklace_of_Supremacy
mewmtq,Nightmare Spiral,amulet,Gain 10% of base Ranged damage dealt as Lifesteal. Reduces Healing Effectiveness by 95%.,https://remnant.wiki/Nightmare_Spiral
0aaso1,Nightweaver's Grudge,amulet,Gain 15% Critical Chance and HASTE when within 20m of an entity suffering from a Status Effect.,https://remnant.wiki/Nightweaver's_Grudge
sqsdvj,Nimue's Ribbon,amulet,Increase Relic Healing Effectiveness by 50% Activating a Relic grants HASTE for 25s.,https://remnant.wiki/Nimue's_Ribbon
j5ew1m,One True King Sigil,amulet,Increases Mod damage by 20%. Enhances the effect of Faerin's Sigil and Faelin's Sigil by 50% per Sigil equipped.,https://remnant.wiki/One_True_King_Sigil
yl1ah9,One-Eyed Joker Idol,amulet,Neutral Backdash creates a Magic Card lasting 1s. If Card absorbs enemy damage  gain 25% Critical Chance for 5s. Neutral Backdash costs 30% additional Stamina.,https://remnant.wiki/One-Eyed_Joker_Idol
ps6umu,Onyx Pendulum,amulet,Dealing 100 Base Firearm damage adds stacks which multiplies the damage of stowed firearm by 1.02x for 15s. Stacks 10x.,https://remnant.wiki/Onyx_Pendulum
xz3z4k,Ornate Amulet,amulet,Activating a Skill increases All Damage by 5% for 10s. Max 5 stacks.,https://remnant.wiki/Ornate_Amulet
588hoi,Participation Medal,amulet,Increase Health by 10  Stamina by 10  Movement Speed by 10%  and Damage Reduction by 10%.,https://remnant.wiki/Participation_Medal
YsS9NW,Profane Soul Stone,amulet,Increases Summon Damage by 30% and Summon Movement Speed by 15. Reduces total Damage Reduction by 10% per active Summon.,https://remnant.wiki/Profane_Soul_Stone
542njq,Quantum Memory,amulet,Combat Slide reloads currently equipped Firearm. Perfect Dodge Combat Slide reloads both firearms.,https://remnant.wiki/Quantum_Memory
t7x0op,Range Finder,amulet,After killing an enemy  gain 10% Ranged damage and 2m Firearm Range. Stacks 3x Lasts 10s. Ranged Weakspot Hits will refresh duration.,https://remnant.wiki/Range_Finder
gh0gk6,Ravager's Mark,amulet,Increases all damage dealt to BLEEDING targets by 20%. Bonus increases to 30% for targets with 50% or lower Health.,https://remnant.wiki/Ravager's_Mark
k1cwam,Reaction Chain,amulet,Increases Mod Damage by 20%. Activating a Mod generates 50% of Mod Power Spent to the Stowed Weapon's Mod.,https://remnant.wiki/Reaction_Chain
xxp0ri,Red Doe Sigil,amulet,Increases Relic Healing Effectiveness by 30% which doubles when the wearer's Health is below 50%.,https://remnant.wiki/Red_Doe_Sigil
U2Vekv,Reed of the Vaunnt,amulet,Activating a Mod increases Mod Generation by 15% for 10s. Mod Charges have 20% chance not to be consumed on use.,https://remnant.wiki/Reed_of_the_Vaunnt
fwtqy6,Relay Device,amulet,Swapping Firearms increases Ranged Damage by 20% for 1.5s plus an additional 0.5s for each round in the Magazine. Max 15s.,https://remnant.wiki/Relay_Device
iq6zyc,Rusted Navigator's Pendant,amulet,Grants 20 Health  20 Stamina and -15 Armor Encumbrance,https://remnant.wiki/Rusted_Navigator's_Pendant
z7ivk2,Samoflange,amulet,Direct damage taken from enemies  and any additional damage within 2s  is reduced by 60%. Once the defensive buff expires  all incoming damage to wearer is increased by 15% for 10s.,https://remnant.wiki/Samoflange
j2jso0,Scavenger's Bauble,amulet,Increases Scrap pickups by 50%. Automatically pick up any nearby crafting materials.,https://remnant.wiki/Scavenger's_Bauble
ib2as6,Shaed Bloom Crystal,amulet,Gain a 35% damage bonus. Every 5s  the bonus switches between Physical and Elemental damage.,https://remnant.wiki/Shaed_Bloom_Crystal
9z1g8f,Shock Device,amulet,Increases SHOCK damage by 25% and OVERLOADED damage by 50%.,https://remnant.wiki/Shock_Device
yuW4pJ,Short Circuit,amulet,While a SHIELD is active  increases Critical Chance and Critical Damage by 10% and Skill Cooldowns are reduced by 6% once every 5s.,https://remnant.wiki/Short_Circuit
k8j2r3,Silver Ribbon,amulet,Increases Skill damage by 25%. Activating a Skill grants HASTE for 15s.,https://remnant.wiki/Silver_Ribbon
qwguja,Sinister Totem,amulet,Applying or refreshing a Negative Status Effect to an enemy increases Status Damage by 1% for 15s. Max 50 stacks.,https://remnant.wiki/Sinister_Totem
6amich,Soul Anchor,amulet,Increase All Damage by 20% while at least 1 Summon is active.,https://remnant.wiki/Soul_Anchor
z7ivk3,Soul Stone,amulet,Increases Summon Damage by 30% and Summon Movement Speed by 30%.,https://remnant.wiki/Soul_Stone
n1y24e,Spirit Wisp Amulet,amulet,Activating a Mod reduces current Skill Cooldowns by 3% for every 300 Mod Power spent.,https://remnant.wiki/Spirit_Wisp_Amulet
rcyafk,Stalker's Brand,amulet,Gain 12.5% Ranged and 15% Melee damage. Bonus doubles versus enemies not targeting wearer.,https://remnant.wiki/Stalker's_Brand
41ookg,Stoneshaper's Chisel,amulet,After not using the primary fire of a weapon for 10s. All Damage is increased by 25%. Primary fire of a weapon instantly cancels the effect.,https://remnant.wiki/Stoneshaper's_Chisel
8jy9hv,Talisman of the Sun,amulet,Increases FIRE damage by 25% and BURNING damage by 50%.,https://remnant.wiki/Talisman_of_the_Sun
t4ho4m,Timekeeper's Forfeit,amulet,Increases Status Effect Damage by 50%. Applying a Status Effect to an enemy also applies it to the wearer.,https://remnant.wiki/Timekeeper's_Forfeit
nevpy5,Toxic Release Valve,amulet,Swapping Firearms releases a Toxic Cloud  which deals 60.5-170.5 ACID Damage to all enemies within 7m and applies CORROSION dealing 280 ACID damage over 7s.  Can only happen once every 3s.,https://remnant.wiki/Toxic_Release_Valve
776kn2,Twisted Idol,amulet,Increases Armor Effectiveness by 35% and reduces Encumbrance by 20.,https://remnant.wiki/Twisted_Idol
1ucgis,Vengeance Idol,amulet,Increases all damage dealt by 30% when the wearer's Health is below 50%.,https://remnant.wiki/Vengeance_Idol
rctnex,Void Idol,amulet,Increases Reload Speed by 30%. Reloads only require 50% of magazine from reserves to fully reload.,https://remnant.wiki/Void_Idol
up6mi1,Volatile Cartridge,amulet,Increases Explosive Critical Chance and Explosive Critical Damage by 1% for every 5% of Max Health protected by a SHIELD.,https://remnant.wiki/Volatile_Cartridge
b9l389,Weightless Weight,amulet,Increases Movement Speed by 0.75% and reduces Stamina Cost of all actions by 0.75% for every 5 points of Armor Encumbrance.,https://remnant.wiki/Weightless_Weight
2e2hh5,Whispering Marble,amulet,Grants 3 stacks of BULWARK. Increases All Damage by 2% per stack of BULWARK.,https://remnant.wiki/Whispering_Marble
69dogy,Worn Dog Tags,amulet,Increases Fire Rate and Reload Speed by 15% and Decreases Weapon Charge Time by 15%.,https://remnant.wiki/Worn_Dog_Tags
ryS67y,Zero Divide,amulet,Gain Infinite Reserve Ammo and increases Ranged Damage by 15%.,https://remnant.wiki/Zero_Divide
ozin1d,Zero Hour,amulet,Increases All Damage by 20% and Critical Chance by 10%. Each Weight Class above LIGHT reduces All Damage bonus by 5% and Critical Chance by 2.5%.,https://remnant.wiki/Zero_Hour
67pme7,Alchemist,archetype,The ALCHEMIST specializes in powerful buffing Vials and consumable potency.,https://remnant.wiki/Alchemist
og1fvq,Archon,archetype,The ARCHON is the master of Weapon Mods and Mod Power generation.,https://remnant.wiki/Archon
wm2xsy,Challenger,archetype,The CHALLENGER specializes in close range combat and heightened survivability.,https://remnant.wiki/Challenger
98i1ka,Engineer,archetype,The ENGINEER specializes in Heavy Weaponry which can be carried or placed in turret mode.,https://remnant.wiki/Engineer
la3vvu,Explorer,archetype,The EXPLORER specializes in finding valuable items and overall team utility.,https://remnant.wiki/Explorer
d2qga5,Gunslinger,archetype,The GUNSLINGER specializes in raw damage  firearm handling  and ammo conservation.,https://remnant.wiki/Gunslinger
aazlxe,Handler,archetype,The HANDLER specializes in teamwork in both solo and cooperative scenarios.,https://remnant.wiki/Handler
5tkqdz,Hunter,archetype,The HUNTER specializes in ranged damage  precision shots and marking enemies.,https://remnant.wiki/Hunter
0ipjpk,Invader,archetype,The INVADER specializes elusiveness and misdirecting the enemy's focus.,https://remnant.wiki/Invader
Y2NhrX,Invoker,archetype,The INVOKER specializes in Skill Effectiveness and Buffs.,https://remnant.wiki/Invoker
d6fvmc,Medic,archetype,The MEDIC specializes in survivability with enhanced healing and Relic effectiveness.,https://remnant.wiki/Medic
1q7z9d,Ritualist,archetype,The RITUALIST is a powerful class focusing on status effects and AOE damage  that can make enemies infect their allies with whatever status they are suffering,https://remnant.wiki/Ritualist
og0bwx,Summoner,archetype,The SUMMONER specializes in using Minions to do their bidding and sacrificing them.,https://remnant.wiki/Summoner
tn0x3c,Warden,archetype,TBD,https://remnant.wiki/Warden
hqjxyn,Bark Extract,concoction,Increases Armor by 30.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Bark_Extract
qj302c,Bottled Shaedberry,concoction,Increases Mod Power Generation by 10%.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Bottled_Shaedberry
fhm256,Chilled Steam,concoction,Increases Movement Speed by 10%.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Chilled_Steam
8p2sj3,Dark Cider,concoction,Increases Health by 6.66%  Stamina by 6.66%  and Movement Speed by 6.66%.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Dark_Cider
byi9a5,Dark Fluid,concoction,Increases Distance of Evade and Combat Slide by 15% and reduces the cost by 20%.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Dark_Fluid
byi9d,Egg Drink,concoction,Increases Dodge Weight Threshold by 10.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Egg_Drink
4yzeco,Meat Shake,concoction,Increases Damage Reduction by 6.5%.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Meat_Shake
yduuj3,Mudtooth's Elixir,concoction,Increases Experience Gains by 15%.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Mudtooth's_Elixir
ru74g9,Mudtooth's Snake Oil,concoction,Grants 1 random Concoction effect. Ignores concoction limit.  Concoctions will stay in effect after death.,https://remnant.wiki/Mudtooth's_Snake_Oil
5yrxf1,Mudtooth's Stew,concoction,Increases Max Stamina by 20.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Mudtooth's_Stew
p0ru94,Mudtooth's Tonic,concoction,Increases Max Health by 20.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Mudtooth's_Tonic
d715ws,Numbing Agent,concoction,Increases the hits that can be taken before losing Grey Health by 1. Lasts 60m and will stay in effect after death.  Only one Concoction may be active at a time.,https://remnant.wiki/Numbing_Agent
56vkqr,Root Water,concoction,Regenerates 1 Health per second.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Root_Water
dk9yg4,Sacred Lakewater,concoction,Increases Grey Health Conversion by 20% and Grey Health Regen by 2 per second.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Sacred_Lakewater
kyulid,Sanguine Vapor,concoction,Grants 2% of base damage dealt as Lifesteal.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Sanguine_Vapor
to2dcw,Strong Drink,concoction,Reduces Encumbrance by 10.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Strong_Drink
l7r9sm,Tranquility Font,concoction,Reduces Reticle Sway  Spread  and Gun Recoil by 25%.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Tranquility_Font
qgare2,Verdant Tea,concoction,Increases Stamina Recovery by 20 per second and reduces Stamina Regen Penalty by 50%.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Verdant_Tea
2jeq07,Xenoplasm,concoction,Reduces Skill Cooldowns 10%.  Concoctions will stay in effect after death. Only one Concoction may be active at a time.,https://remnant.wiki/Xenoplasm
rw5Q9E,All-Seeing Eye,consumable,Grants a random buff or debuff. Lasts 3m.,https://remnant.wiki/All-Seeing_Eye
6lnae6,Ambit Ember,consumable,Slightly increases Evade Window and Evade Speed by 15%. Lasts 60s.,https://remnant.wiki/Ambit_Ember
v2usqs,Ammo Box,consumable,Replenishes all reserve ammo.,https://remnant.wiki/Ammo_Box
a34kjc,Antidote,consumable,Removes CORRODED effect and increases ACID resistance by 15. Lasts 10m.,https://remnant.wiki/Antidote
elazod,Bandage,consumable,Stops BLEEDING and restores all Grey Health.,https://remnant.wiki/Bandage
edaeta,Binding Orb,consumable,When thrown  Device becomes an anchor and applies SLOW to all enemies within 4m. Lasts 20s.,https://remnant.wiki/Binding_Orb
nrdcko,Black Tar,consumable,When thrown  explodes in a 4m radius dealing 30 damage and creating a puddle lasting 15s which applies TARRED for 30s to creatures inside.    Ranged damage and other FIRE sources ignite TARRED entities  dealing 250 BURNING damage over 10s.,https://remnant.wiki/Black_Tar
bisl2l,Blood Root,consumable,Regenerates 1.5 Health per second. Lasts 30s.,https://remnant.wiki/Blood_Root
937h03,Brightstone,consumable,When thrown  explodes in a 6m radius dealing 50 - 150 damage and leaving a mysterious Mist which causes enemies to receive 10% additional damage. Duration lasts 10s after enemies leave the Mist. Last 15s.,https://remnant.wiki/Brightstone
RCsP9c,Celestial Thaen Fruit,consumable,An ancient fruit that was harvested at its highest form. After consuming  upon death the hero will be revived with 50% Health  and be immune to STATUS effects for 30s.  Cooldown: 60m.,https://remnant.wiki/Thaen_Fruit
al8yob,Confidence Booster,consumable,Reduces incoming damage by 10%  reduce Stagger by 1. Lasts 20s.,https://remnant.wiki/Confidence_Booster
3KVVwq,Dran's Dream,consumable,It feels as though the soothing glow within this thing is calling to you  whispering of a dream yet unrealized and an escape from the cold grip of reality. You've seen too far many inexplicable things in your day  yet the lure of this dreamer's promise is too much to resist.,https://remnant.wiki/Dran%27s_Dream
Y8ey65,Dried Fruit,consumable,Regenerates 5% Health instantly.,https://remnant.wiki/Dried_Fruit
JU5svc,Elder Thaen Fruit,consumable,An ancient fruit that was harvested at an older age. After consuming  upon death the hero will be revived with 40% Health  and be immune to STATUS Effects for 30s.  Cooldown: 60m.,https://remnant.wiki/Thaen_Fruit
ffjbc9,Ethereal Orb,consumable,Removes OVERLOADED effect and increases SHOCK resistance by 15. Lasts 10m.,https://remnant.wiki/Ethereal_Orb
aqphr5,Faerie Needle,consumable,Regenerates 10 Mod Power per second. Lasts 60s.,https://remnant.wiki/Faerie_Needle
m1gznf,Gul Serum,consumable,Reduces Stamina Consumption by 50%. Lasts 60s.,https://remnant.wiki/Gul_Serum
PvwhJ5,Huntress's Dream,consumable,The sphere emits a soft breeze that smells of flower and ash. You can't explain why  but you feel like it's watching you. Waiting.,https://remnant.wiki/Huntress%27s_Dream
1585ah,Koara Pellet,consumable,Consume to restore 10% Max Health instantly.,https://remnant.wiki/Koara_Pellet
E5CbP6,Light Extract,consumable,Grants HASTE. Lasts 60s.,https://remnant.wiki/Light_Extract
xgdk68,Liquid Escape,consumable,When consumed  the hero will be returned to the last activated checkpoint.,https://remnant.wiki/Liquid_Escape
3gZ3s3,Mature Thaen Fruit,consumable,An ancient fruit that was harvested at a mid-life age. After consuming  upon death the hero will be revived with 30% Health  and be immune to STATUS Effects for 30s.  Cooldown: 60m.,https://remnant.wiki/Thaen_Fruit
dvx5ib,Mud Rub,consumable,Extinguishes BURNING effect and increases FIRE resistance by 15. Lasts 10m.,https://remnant.wiki/Mud_Rub
6aasor,Mystery Jerky,consumable,Converts  6.66 Health into Grey Health per second. Last  15s.,https://remnant.wiki/Mystery_Jerky
4Sv3yg,Nimue's Dream,consumable,An alto hum emanates from the sphere  rising and falling seemingly at ranadom in a paceful  unrepeated melody.,https://remnant.wiki/Nimue%27s_Dream
0sec3n,Oilskin Balm,consumable,Cures ROOT ROT Blight and increases Blight Resistance by 25. Lasts 10m.,https://remnant.wiki/Oilskin_Balm
4g6uzA,Orb of Undoing,consumable,Resets all spent Trait Points.,https://remnant.wiki/Orb_of_Undoing
kfwizc,Pipe Bomb,consumable,When thrown  explodes in a 4m radius dealing 150 - 450 damage and applying BLEEDING  which deals an additional 250 - 750 BLEED damage over 30s.,https://remnant.wiki/Pipe_Bomb
6awni8,Poisoned Ambit Ember Capsule,consumable,Use to equip the capsule which can be thrown by pressing FIRE. The capsule will detonate after 2s or upon hitting an enemy  releasing a chemical agent which dampens the psionic abilities of long-term Ambit Ember users.,https://remnant.wiki/Poisoned_Ambit_Ember_Capsule
4lvdgg,Processed Koara,consumable,Decreases Stamina Recovery delay by 75% and Stamina Regen Penalty by 50%. Lasts 60s.,https://remnant.wiki/Processed_Koara
wzi8il,Purified Salve,consumable,Cures CURSE and increases Blight Resistance by 25. Lasts 10m.,https://remnant.wiki/Purified_Salve
